id,pred_xgb_shallow_te_full_data
0.0,0.997435986995697
1.0,0.007306026294827461
2.0,0.008149090223014355
3.0,0.04195781797170639
4.0,0.9980043172836304
5.0,0.9928224086761475
6.0,0.8968727588653564
7.0,0.01892487332224846
8.0,0.20023873448371887
9.0,0.09986689686775208
10.0,0.025386415421962738
11.0,0.01098135206848383
12.0,0.08321158587932587
13.0,0.02848368138074875
14.0,0.9484342932701111
15.0,0.23602864146232605
16.0,0.09934571385383606
17.0,0.9695614576339722
18.0,0.6711821556091309
19.0,0.0026177556719630957
20.0,0.8216844201087952
21.0,0.58390212059021
22.0,0.00545415049418807
23.0,0.004029093775898218
24.0,0.8965838551521301
25.0,0.01300758309662342
26.0,0.012433302588760853
27.0,0.8675674200057983
28.0,0.9409502148628235
29.0,0.9591920971870422
30.0,0.912492036819458
31.0,0.9514254927635193
32.0,0.2815147638320923
33.0,0.9604289531707764
34.0,0.041918352246284485
35.0,0.4404866099357605
36.0,0.9039342999458313
37.0,0.7911018133163452
38.0,0.8412600159645081
39.0,0.9984906315803528
40.0,0.9905779361724854
41.0,0.09446538239717484
42.0,0.12288478761911392
43.0,0.06701923906803131
44.0,0.59485924243927
45.0,0.015888413414359093
46.0,0.42686596512794495
47.0,0.01719064824283123
48.0,0.2562962770462036
49.0,0.4013638496398926
50.0,0.01686066761612892
51.0,0.8884450793266296
52.0,0.93827223777771
53.0,0.8906450867652893
54.0,0.26294293999671936
55.0,0.9864389300346375
56.0,0.005236230790615082
57.0,0.009336119517683983
58.0,0.9282655715942383
59.0,0.7236601710319519
60.0,0.986433744430542
61.0,0.9751760363578796
62.0,0.9873128533363342
63.0,0.9850147366523743
64.0,0.021864745765924454
65.0,0.010153724811971188
66.0,0.07482399046421051
67.0,0.01645774208009243
68.0,0.006863628979772329
69.0,0.9915069341659546
70.0,0.08227947354316711
71.0,0.015713881701231003
72.0,0.3316662609577179
73.0,0.5956100225448608
74.0,0.9886031150817871
75.0,0.24316009879112244
76.0,0.009959423914551735
77.0,0.4166576862335205
78.0,0.9873286485671997
79.0,0.00634567067027092
80.0,0.9887051582336426
81.0,0.9882215261459351
82.0,0.4811598062515259
83.0,0.3959850072860718
